chapter,toc,word,meaning
CH1,"un- (~이 아닌, 반대)",unhappy,"불행한, 슬픈"
CH1,"un- (~이 아닌, 반대)",unfair,"불공정한, 부당한"
CH1,"un- (~이 아닌, 반대)",unkind,"불친절한, 못된"
CH1,"un- (~이 아닌, 반대)",unsafe,위험한
CH1,"un- (~이 아닌, 반대)",unusual,"이례적인, 특이한"
CH1,"un- (~이 아닌, 반대)",unreal,"비현실적인, 믿기 힘든"
CH1,"un- (~이 아닌, 반대)",unnecessary,불필요한
CH1,"un- (~이 아닌, 반대)",uncertain,"불확실한, 확신이 없는"
CH1,"un- (~이 아닌, 반대)",unconscious,"의식을 잃은, 무의식의"
CH1,"un- (~이 아닌, 반대)",unaware,눈치채지 못한
CH1,"un- (~이 아닌, 반대)",unlike,"~와 다른, 닮지 않은"
CH1,"un- (~이 아닌, 반대)",unlock,잠금 해제하다
CH1,"un- (~이 아닌, 반대)",unwrap,포장을 벗기다
CH1,"un- (~이 아닌, 반대)",untie,"풀다, 끄르다"
CH1,"un- (~이 아닌, 반대)",unacceptable,"받아들일 수 없는, 용납할 수 없는"
CH1,"un- (~이 아닌, 반대)",unavailable,"이용할 수 없는, 구할 수 없는"
CH1,"un- (~이 아닌, 반대)",unbelievable,믿을 수 없는
CH1,"un- (~이 아닌, 반대)",uncomfortable,"불편한, 불쾌한"
CH1,"un- (~이 아닌, 반대)",unfairly,"불공정하게, 부당하게"
CH1,"un- (~이 아닌, 반대)",unreliable,"신뢰할 수 없는, 믿음직하지 않은"
CH1,in- / im- / il- / ir- (~이 아닌),incorrect,"틀린, 부정확한"
CH1,in- / im- / il- / ir- (~이 아닌),incomplete,불완전한
CH1,in- / im- / il- / ir- (~이 아닌),invisible,보이지 않는
CH1,in- / im- / il- / ir- (~이 아닌),inactive,"비활동적인, 소극적인"
CH1,in- / im- / il- / ir- (~이 아닌),inadequate,불충분한
CH1,in- / im- / il- / ir- (~이 아닌),inaccurate,부정확한
CH1,in- / im- / il- / ir- (~이 아닌),impossible,불가능한
CH1,in- / im- / il- / ir- (~이 아닌),immoral,비도덕적인
CH1,in- / im- / il- / ir- (~이 아닌),immature,미성숙한
CH1,in- / im- / il- / ir- (~이 아닌),impatient,참을성 없는
CH1,in- / im- / il- / ir- (~이 아닌),impolite,무례한
CH1,in- / im- / il- / ir- (~이 아닌),impure,불순한
CH1,in- / im- / il- / ir- (~이 아닌),illegal,불법의
CH1,in- / im- / il- / ir- (~이 아닌),illegible,읽기 어려운
CH1,in- / im- / il- / ir- (~이 아닌),illogical,비논리적인
CH1,in- / im- / il- / ir- (~이 아닌),illegitimate,"위법의, 사생의"
CH1,in- / im- / il- / ir- (~이 아닌),irregular,불규칙한
CH1,in- / im- / il- / ir- (~이 아닌),irrelevant,무관한
CH1,in- / im- / il- / ir- (~이 아닌),irresponsible,무책임한
CH1,in- / im- / il- / ir- (~이 아닌),irreplaceable,대체 불가능한
CH1,"a- / an- / ab (~이 아닌, 없는)",amoral,비도덕적인
CH1,"a- / an- / ab (~이 아닌, 없는)",apolitical,"정치에 무관심한, 비정치적인"
CH1,"a- / an- / ab (~이 아닌, 없는)",asocial,"비사교적인, 반사회적인"
CH1,"a- / an- / ab (~이 아닌, 없는)",atypical,"비정형적인, 이례적인"
CH1,"a- / an- / ab (~이 아닌, 없는)",ahistorical,"비역사적인, 역사와 무관한"
CH1,"a- / an- / ab (~이 아닌, 없는)",anonymous,익명의
CH1,"a- / an- / ab (~이 아닌, 없는)",anarchy,무정부 상태
CH1,"a- / an- / ab (~이 아닌, 없는)",asymmetric,비대칭의
CH1,"a- / an- / ab (~이 아닌, 없는)",abnormal,"정상에서 벗어난, 비정상적인"
CH1,"a- / an- / ab (~이 아닌, 없는)",abroad,"해외로, 멀리 떨어져"
CH1,"a- / an- / ab (~이 아닌, 없는)",absent,"결석한, 부재한"
CH1,"a- / an- / ab (~이 아닌, 없는)",absence,"결석, 부재"
CH1,"a- / an- / ab (~이 아닌, 없는)",abnormal,"비정상적인, 이상한"
CH1,"a- / an- / ab (~이 아닌, 없는)",abolish,"폐지하다, 없애다"
CH1,"a- / an- / ab (~이 아닌, 없는)",abstract,추출하다; 추상적인
CH1,"a- / an- / ab (~이 아닌, 없는)",abduct,"유괴하다, 납치하다"
CH1,"a- / an- / ab (~이 아닌, 없는)",abduction,"유괴, 납치"
CH1,"a- / an- / ab (~이 아닌, 없는)",abandon,"버리다, 포기하다"
CH1,"a- / an- / ab (~이 아닌, 없는)",abuse,"남용하다, 학대하다"
CH1,"a- / an- / ab (~이 아닌, 없는)",abrupt,돌연한
CH1,non- (~이 아닌),nonstop,"허튼소리, 무의미한 것"
CH1,non- (~이 아닌),nonsense,존재하지 않는
CH1,non- (~이 아닌),nonexistent,"허구가 아닌, 논픽션"
CH1,non- (~이 아닌),nonfiction,"이익을 추구하지 않는, 비영리의"
CH1,non- (~이 아닌),nonprofit,"비언어적인, 말이 아닌"
CH1,non- (~이 아닌),nonverbal,"비인간의, 인간이 아닌 것"
CH1,non- (~이 아닌),nonhuman,"비본질적인, 불필요한"
CH1,non- (~이 아닌),nonessential,전통적이지 않은
CH1,non- (~이 아닌),nontraditional,"독이 없는, 무해한"
CH1,"dis- (반대, ~이 아닌, 떨어져)",dislike,"싫어하다, 반감"
CH1,"dis- (반대, ~이 아닌, 떨어져)",dishonest,"부정직한, 불성실한"
CH1,"dis- (반대, ~이 아닌, 떨어져)",disagree,반대하다
CH1,"dis- (반대, ~이 아닌, 떨어져)",disapprove,"승인하지 않다, 반대하다"
CH1,"dis- (반대, ~이 아닌, 떨어져)",disbelief,"불신, 의심"
CH1,"dis- (반대, ~이 아닌, 떨어져)",disorder,"무질서, 장애"
CH1,"dis- (반대, ~이 아닌, 떨어져)",discomfort,"불편, 불쾌"
CH1,"dis- (반대, ~이 아닌, 떨어져)",disable,"사용 불가능하게 하다, 불구로 만들다"
CH1,"dis- (반대, ~이 아닌, 떨어져)",disconnect,"연결을 끊다, 단절하다"
CH1,"dis- (반대, ~이 아닌, 떨어져)",discontinue,"중단하다, 그만두다"
CH1,"de- (반대, 제거, 아래로)",decline,"기울다, 감소하다; 거절하다"
CH1,"de- (반대, 제거, 아래로)",decrease,"줄다, 감소하다"
CH1,"de- (반대, 제거, 아래로)",decay,"부패하다, 쇠퇴하다"
CH1,"de- (반대, 제거, 아래로)",depress,"우울하게 하다, 침체시키다"
CH1,"de- (반대, 제거, 아래로)",decide,결정하다
CH1,"de- (반대, 제거, 아래로)",declare,"선언하다, 밝히다"
CH1,"de- (반대, 제거, 아래로)",defeat,패배시키다
CH1,"de- (반대, 제거, 아래로)",destroy,파괴하다
CH1,"de- (반대, 제거, 아래로)",destruct,파괴하다
CH1,"de- (반대, 제거, 아래로)",demolish,"철거하다, 파괴하다"
CH1,"mis- (잘못, 나쁘게)",mistake,"실수, 잘못"
CH1,"mis- (잘못, 나쁘게)",misunderstand,오해하다
CH1,"mis- (잘못, 나쁘게)",misinterpret,"오역하다, 잘못 해석하다"
CH1,"mis- (잘못, 나쁘게)",mislead,"잘못 인도하다, 속이다"
CH1,"mis- (잘못, 나쁘게)",misinform,잘못된 정보를 주다
CH1,"mis- (잘못, 나쁘게)",miscommunication,오해
CH1,"mis- (잘못, 나쁘게)",misbehave,"못되게 굴다, 버릇없게 굴다"
CH1,"mis- (잘못, 나쁘게)",misconduct,"위법 행위, 비행"
CH1,"mis- (잘못, 나쁘게)",misdeed,"범죄, 악행"
CH1,"mis- (잘못, 나쁘게)",misfit,"부적응자, 어울리지 않는 사람"
CH1,"anti- (~에 반대하여, ~에 맞서)",antisocial,"반사회적인, 비사교적인"
CH1,"anti- (~에 반대하여, ~에 맞서)",antigovernment,반정부의
CH1,"anti- (~에 반대하여, ~에 맞서)",antislavery,반노예제(의)
CH1,"anti- (~에 반대하여, ~에 맞서)",antiwar,전쟁에 반대하는
CH1,"anti- (~에 반대하여, ~에 맞서)",antiviral,항바이러스의
CH1,"anti- (~에 반대하여, ~에 맞서)",antibiotic,항생제
CH1,"anti- (~에 반대하여, ~에 맞서)",antidote,해독제
CH1,"anti- (~에 반대하여, ~에 맞서)",antifreeze,부동액
